COM;REG;DEP;NCC;NCCENR;LIBELLE
14546;28;14;ROUVRES;Rouvres;Rouvres
14547;28;14;RUBERCY;Rubercy;Rubercy
14549;;;RULLY;Rully;Rully
14550;28;14;RUMESNIL;Rumesnil;Rumesnil
14551;;;RUSSY;Russy;Russy
14552;28;14;RYES;Ryes;Ryes
14554;28;14;CASTELET;Castelet;Le Castelet
14554;;;SAINT AIGNAN DE CRAMESNIL;Saint-Aignan-de-Cramesnil;Saint-Aignan-de-Cramesnil
14555;28;14;SAINT ANDRE D HEBERTOT;Saint-André-d'Hébertot;Saint-André-d'Hébertot
14556;28;14;SAINT ANDRE SUR ORNE;Saint-André-sur-Orne;Saint-André-sur-Orne
14557;28;14;SAINT ARNOULT;Saint-Arnoult;Saint-Arnoult
14558;28;14;SAINT AUBIN D ARQUENAY;Saint-Aubin-d'Arquenay;Saint-Aubin-d'Arquenay
14559;28;14;SAINT AUBIN DES BOIS;Saint-Aubin-des-Bois;Saint-Aubin-des-Bois
14560;;;SAINT AUBIN LEBIZAY;Saint-Aubin-Lébizay;Saint-Aubin-Lébizay
14562;28;14;SAINT AUBIN SUR MER;Saint-Aubin-sur-Mer;Saint-Aubin-sur-Mer
14563;28;14;SAINT BENOIT D HEBERTOT;Saint-Benoît-d'Hébertot;Saint-Benoît-d'Hébertot
14564;;;SAINT CHARLES DE PERCY;Saint-Charles-de-Percy;Saint-Charles-de-Percy
14565;28;14;SAINT COME DE FRESNE;Saint-Côme-de-Fresné;Saint-Côme-de-Fresné
14566;28;14;SAINT CONTEST;Saint-Contest;Saint-Contest
14568;;;SAINTE CROIX GRAND TONNE;Sainte-Croix-Grand-Tonne;Sainte-Croix-Grand-Tonne
14569;28;14;SAINTE CROIX SUR MER;Sainte-Croix-sur-Mer;Sainte-Croix-sur-Mer
14570;28;14;VALORBIQUET;Valorbiquet;Valorbiquet
14570;;;SAINT CYR DU RONCERAY;Saint-Cyr-du-Ronceray;Saint-Cyr-du-Ronceray
14571;28;14;SAINT DENIS DE MAILLOC;Saint-Denis-de-Mailloc;Saint-Denis-de-Mailloc
14572;28;14;SAINT DENIS DE MERE;Saint-Denis-de-Méré;Saint-Denis-de-Méré
14573;;;SAINT DENIS MAISONCELLES;Saint-Denis-Maisoncelles;Saint-Denis-Maisoncelles
14574;28;14;SAINT DESIR;Saint-Désir;Saint-Désir
14575;28;14;SAINT ETIENNE LA THILLAYE;Saint-Étienne-la-Thillaye;Saint-Étienne-la-Thillaye
14576;28;14;VAL DE VIE;Val-de-Vie;Val-de-Vie
14576;;;SAINTE FOY DE MONTGOMMERY;Sainte-Foy-de-Montgommery;Sainte-Foy-de-Montgommery
14578;28;14;SAINT GATIEN DES BOIS;Saint-Gatien-des-Bois;Saint-Gatien-des-Bois
14579;28;14;SEULLINE;Seulline;Seulline
14579;;;SAINT GEORGES D AUNAY;Saint-Georges-d'Aunay;Saint-Georges-d'Aunay
14580;;;SAINT GEORGES EN AUGE;Saint-Georges-en-Auge;Saint-Georges-en-Auge
14581;;;SAINT GERMAIN D ECTOT;Saint-Germain-d'Ectot;Saint-Germain-d'Ectot
14582;28;14;SAINT GERMAIN DE LIVET;Saint-Germain-de-Livet;Saint-Germain-de-Livet
14583;;;SAINT GERMAIN DE MONTGOMMERY;Saint-Germain-de-Montgommery;Saint-Germain-de-Montgommery
14584;;;SAINT GERMAIN DE TALLEVENDE LA LANDE VAUMONT;Saint-Germain-de-Tallevende-la-Lande-Vaumont;Saint-Germain-de-Tallevende-la-Lande-Vaumont
14585;;;SAINT GERMAIN DU CRIOULT;Saint-Germain-du-Crioult;Saint-Germain-du-Crioult
14586;28;14;SAINT GERMAIN DU PERT;Saint-Germain-du-Pert;Saint-Germain-du-Pert
14587;28;14;SAINT GERMAIN LA BLANCHE HERBE;Saint-Germain-la-Blanche-Herbe;Saint-Germain-la-Blanche-Herbe
14588;28;14;SAINT GERMAIN LANGOT;Saint-Germain-Langot;Saint-Germain-Langot
14589;28;14;SAINT GERMAIN LE VASSON;Saint-Germain-le-Vasson;Saint-Germain-le-Vasson
14590;28;14;SAINTE HONORINE DE DUCY;Sainte-Honorine-de-Ducy;Sainte-Honorine-de-Ducy
14591;28;14;AURE SUR MER;Aure sur Mer;Aure sur Mer
14591;;;SAINTE HONORINE DES PERTES;Sainte-Honorine-des-Pertes;Sainte-Honorine-des-Pertes
14592;28;14;SAINTE HONORINE DU FAY;Sainte-Honorine-du-Fay;Sainte-Honorine-du-Fay
14593;28;14;SAINT HYMER;Saint-Hymer;Saint-Hymer
14595;28;14;SAINT JEAN DE LIVET;Saint-Jean-de-Livet;Saint-Jean-de-Livet
14596;;;SAINT JEAN DES ESSARTIERS;Saint-Jean-des-Essartiers;Saint-Jean-des-Essartiers
14597;;;SAINT JEAN LE BLANC;Saint-Jean-le-Blanc;Saint-Jean-le-Blanc
14598;28;14;SAINT JOUIN;Saint-Jouin;Saint-Jouin
14599;;;SAINT JULIEN DE MAILLOC;Saint-Julien-de-Mailloc;Saint-Julien-de-Mailloc
14600;;;SAINT JULIEN LE FAUCON;Saint-Julien-le-Faucon;Saint-Julien-le-Faucon
14601;28;14;SAINT JULIEN SUR CALONNE;Saint-Julien-sur-Calonne;Saint-Julien-sur-Calonne
14602;28;14;SAINT LAMBERT;Saint-Lambert;Saint-Lambert
14603;28;14;SAINT LAURENT DE CONDEL;Saint-Laurent-de-Condel;Saint-Laurent-de-Condel
14605;28;14;SAINT LAURENT SUR MER;Saint-Laurent-sur-Mer;Saint-Laurent-sur-Mer
14606;28;14;SAINT LEGER DUBOSQ;Saint-Léger-Dubosq;Saint-Léger-Dubosq
14607;28;14;SAINT LOUET SUR SEULLES;Saint-Louet-sur-Seulles;Saint-Louet-sur-Seulles
14608;;;SAINT LOUP DE FRIBOIS;Saint-Loup-de-Fribois;Saint-Loup-de-Fribois
14609;28;14;SAINT LOUP HORS;Saint-Loup-Hors;Saint-Loup-Hors
14610;28;14;SAINT MANVIEU NORREY;Saint-Manvieu-Norrey;Saint-Manvieu-Norrey
14611;;;SAINT MANVIEU BOCAGE;Saint-Manvieu-Bocage;Saint-Manvieu-Bocage
14613;28;14;SAINT MARCOUF;Saint-Marcouf;Saint-Marcouf
14614;28;14;SAINTE MARGUERITE D ELLE;Sainte-Marguerite-d'Elle;Sainte-Marguerite-d'Elle
14615;;;SAINTE MARGUERITE DES LOGES;Sainte-Marguerite-des-Loges;Sainte-Marguerite-des-Loges
14616;;;SAINTE MARGUERITE DE VIETTE;Sainte-Marguerite-de-Viette;Sainte-Marguerite-de-Viette
14618;;;SAINTE MARIE LAUMONT;Sainte-Marie-Laumont;Sainte-Marie-Laumont
14619;28;14;SAINTE MARIE OUTRE L EAU;Sainte-Marie-Outre-l'Eau;Sainte-Marie-Outre-l'Eau
14620;28;14;SAINT MARTIN AUX CHARTRAINS;Saint-Martin-aux-Chartrains;Saint-Martin-aux-Chartrains
14621;28;14;SAINT MARTIN DE BIENFAITE LA CRESSONNIERE;Saint-Martin-de-Bienfaite-la-Cressonnière;Saint-Martin-de-Bienfaite-la-Cressonnière
14622;28;14;SAINT MARTIN DE BLAGNY;Saint-Martin-de-Blagny;Saint-Martin-de-Blagny
14623;28;14;SAINT MARTIN DE FONTENAY;Saint-Martin-de-Fontenay;Saint-Martin-de-Fontenay
14625;28;14;SAINT MARTIN DE LA LIEUE;Saint-Martin-de-la-Lieue;Saint-Martin-de-la-Lieue
14626;28;14;SAINT MARTIN DE MAILLOC;Saint-Martin-de-Mailloc;Saint-Martin-de-Mailloc
14627;28;14;SAINT MARTIN DE MIEUX;Saint-Martin-de-Mieux;Saint-Martin-de-Mieux
14628;;;SAINT MARTIN DE SALLEN;Saint-Martin-de-Sallen;Saint-Martin-de-Sallen
14629;;;SAINT MARTIN DES BESACES;Saint-Martin-des-Besaces;Saint-Martin-des-Besaces
14630;28;14;SAINT MARTIN DES ENTREES;Saint-Martin-des-Entrées;Saint-Martin-des-Entrées
